Time,1,2,3,4,5,6,7,8,9,10,Temp,Amplitude(mm)
07/13_11:33:36,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:37,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:38,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:39,0,0,0,0,0,0,0,0,0,0,26,0.003672
07/13_11:33:40,0,0,0,0,0,0,0,0,0,0,26,0.001632
07/13_11:33:41,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:42,0,0,0,0,0,0,0,0,0,0,26,0.002448
07/13_11:33:43,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:44,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:45,0,0,0,0,0,0,0,0,0,0,26,0.002856
07/13_11:33:46,0,0,0,0,0,0,0,0,0,0,26,0.003264
07/13_11:33:47,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:48,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:49,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:50,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:51,0,0,0,0,0,0,0,0,0,0,26,0.002856
07/13_11:33:52,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:53,0,0,0,0,0,0,0,0,0,0,26,0.002856
07/13_11:33:53,0,0,0,0,0,0,0,0,0,0,26,0.003264
07/13_11:33:54,0,0,0,0,0,0,0,0,0,0,26,0.002448
07/13_11:33:54,0,0,0,0,0,0,0,0,0,0,26,0.002856
07/13_11:33:55,0,0,0,0,0,0,0,0,0,0,26,0.002856
07/13_11:33:55,0,0,0,0,0,0,0,0,0,0,26,0.002448
07/13_11:33:56,0,0,0,0,0,0,0,0,0,0,26,0.002448
07/13_11:33:56,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:57,0,0,0,0,0,0,0,0,0,0,26,0.001632
07/13_11:33:57,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:58,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:58,0,0,0,0,0,0,0,0,0,0,26,0.002448
07/13_11:33:59,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:33:59,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:00,0,0,0,0,0,0,0,0,0,0,26,0.002856
07/13_11:34:00,0,0,0,0,0,0,0,0,0,0,26,0.001632
07/13_11:34:01,0,0,0,0,0,0,0,0,0,0,26,0.002448
07/13_11:34:01,0,0,0,0,0,0,0,0,0,0,26,0.002448
07/13_11:34:02,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:02,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:03,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:03,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:04,0,0,0,0,0,0,0,0,0,0,26,0.001632
07/13_11:34:04,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:05,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:05,0,0,0,0,0,0,0,0,0,0,26,0.002448
07/13_11:34:06,0,0,0,0,0,0,0,0,0,0,26,0.001632
07/13_11:34:06,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:07,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:07,0,0,0,0,0,0,0,0,0,0,26.5,0.00408
07/13_11:34:08,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:08,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:09,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:09,0,0,0,0,0,0,0,0,0,0,26,0.002448
07/13_11:34:10,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:10,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:11,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:11,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:12,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:12,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:13,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:13,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:14,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:14,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:15,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:15,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:16,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:16,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:17,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:17,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:18,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:18,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:19,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:19,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:20,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:20,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:21,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:21,0,0,0,0,0,0,0,0,0,0,26,0.00204
07/13_11:34:22,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:22,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:23,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:23,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:34:24,0,0,0,0,0,0,0,0,0,0,26,0.002448
07/13_11:34:24,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:25,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:25,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:34:26,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:34:26,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
